,time,speed,i
196,6.555,2936.4021210062447,106.77210033961188
197,6.607,2988.475661463347,114.00823715966563
198,6.643,3040.0575101771888,104.73716184896907
199,6.673,3032.8628518998607,83.29034740664181
200,6.71,2971.45675995375,63.16720755604778
201,6.75,2870.98031892303,56.69123197275556
202,6.785,2806.1110106084716,75.5476659582484
203,6.823,2780.7440385030577,91.71602673168256
204,6.866,2802.741075599084,105.21835777810568
205,6.902,2855.9560459974796,113.656072355594
206,6.954,2966.2566801019457,121.24330255041099
207,7.022,3102.420964304392,100.82136209555037
208,7.053,3086.981805599601,81.1471550618178
209,7.082,3040.7208388079544,66.03693614333177
210,7.107,2985.2345125703528,63.4184445739495
211,7.183,2908.3784165279544,89.44884977481922
212,7.199,2905.210182680546,94.44283870051387
213,7.223,2910.32101009121,100.62130512443201
214,7.237,2915.8909245155583,103.06279204528252
215,7.25,2924.5052273735196,105.63291878005037
216,7.275,2946.7361021186107,109.90274624450026
217,7.292,2966.453503650847,112.47289178340952
218,7.319,2987.366286876595,109.19411221493293
219,7.339,2996.012668488542,99.8712963810167
220,7.382,2988.9334815428265,84.46167192337472
221,7.403,2967.6306402762393,79.71969430222744
222,7.422,2952.3169916029424,85.96269521828388
223,7.453,2942.4604945939423,95.81706234166829
224,7.47,2946.4501162887473,100.46074871001873
225,7.491,2958.5664712889657,105.14395510455641
226,7.507,2974.391494949813,108.56949920948861
227,7.529,3001.402780242557,106.85973330999833
228,7.579,2982.532602247726,75.87564674443782
229,7.605,2939.5254996746876,71.74126742069296
230,7.64,2901.6409491704144,85.5412664509115
231,7.677,2894.834833052989,98.1704143814705
232,7.709,2918.041576718496,106.87226009716579
233,7.765,2998.8320756903026,116.44568868040949
234,7.786,3029.2863003917755,106.130612321216
235,7.82,3025.80394214847,84.63750707297511
236,7.833,3009.623755863381,76.41874944515675
237,7.847,2988.7430624676326,76.16019701776322
238,7.867,2966.5339961564655,83.88288289872132
239,7.9,2951.68248796173,95.15818215863402
240,7.941,2969.342063270478,105.63056338095016
241,7.975,3005.3038078791783,111.74140750363897
242,7.992,3031.118014949524,108.86201177205281
243,8.028,3029.2800086760444,83.74609913481471
244,8.064,2973.9928624848767,64.65129314671643
245,8.08,2939.4891660786366,63.015777410273
246,8.104,2897.9863652471445,74.5508158133102
247,8.135,2868.5345848098254,87.13351724788208
248,8.169,2865.7038304044313,98.12976561538763
249,8.206,2891.6644895263184,107.3036029581889
250,8.244,2943.558629104612,114.32342317992965
251,8.289,3012.2299688369494,104.78164491774154
252,8.315,3011.4401389912086,87.35557972022545
253,8.349,2976.1558728554205,70.91688249199792
254,8.381,2940.2072777962853,66.30566415304087
255,8.415,2907.837493527433,75.61224626066448
256,8.437,2894.0205406906352,80.60229889279618
257,8.456,2882.5950169198877,86.11858082507342
258,8.485,2875.8451802595473,95.67471006712258
259,8.503,2882.197213946707,101.04490249108306
260,8.519,2892.5704286043665,104.75569379386204
261,8.562,2944.3140193573377,113.21058113512113
262,8.604,3008.8287787812405,108.99373829224511
263,8.631,3027.3372311700105,97.40460805999399
264,8.655,3014.4215975353895,81.71146775182072
265,8.692,2968.996999071954,80.59382634883058
266,8.746,2946.6189086049976,97.39473115217925
267,8.761,2951.206446501207,101.1681016438733
268,8.797,2974.936531913195,108.04045656386647
269,8.821,2996.087503323691,105.44313023109585
270,8.848,3000.530648743679,89.968123601055
271,8.878,2963.2485655514065,71.41529273736846
272,8.91,2894.870360231546,64.75614445309861
273,8.945,2844.191166420203,81.26933701123454
274,8.98,2829.8516386649435,94.26628816171247
275,8.998,2834.8307007847093,99.6423694792687
276,9.015,2846.1688656185106,104.13839965486524
277,9.028,2858.9620299110366,107.24330644636571
278,9.042,2876.54410523729,110.2809800790132
279,9.054,2896.2880440081094,112.83265283604261
280,9.068,2918.947266402891,115.10974273371778
281,9.085,2950.7005215591016,115.25172854360942
282,9.103,2977.9437438197133,108.17673456997318
283,9.122,2986.0613159385935,93.98152933163263
284,9.144,2975.711160753504,83.6864263195362
285,9.159,2967.4553842694568,82.64745341115021
286,9.18,2954.659932967908,88.96607788805842
287,9.2,2950.0608737920243,93.69513360550717
288,9.222,2950.21037224983,97.28735145024635
289,9.236,2952.0777738155675,99.40287349601415
290,9.251,2955.467691667664,101.50931648056292
291,9.284,2976.702693142775,107.69900299721797
292,9.304,2994.8567854636804,101.7236551670429
293,9.336,2981.7160610447027,80.67351881495371
294,9.368,2925.598619353197,69.27485448303685
295,9.401,2882.6451778281103,84.2570577717725
296,9.433,2872.4512298718378,94.77537931413316
297,9.455,2875.3494650780144,98.8086422738748
298,9.474,2886.3465087103273,103.81818071527151
299,9.505,2915.9326174550924,110.02681349420158
300,9.529,2952.632673160934,114.34752984319672
301,9.548,2986.8895613165123,111.39743936301946
302,9.579,2995.338651296177,87.4896444633153
303,9.613,2947.623966064971,67.89672626780126
304,9.644,2878.3632579361156,62.817766321047486
305,9.679,2824.368648985565,80.10510913618393
306,9.698,2810.887149534457,88.28590227694842
307,9.717,2809.141422835056,95.45326947261877
308,9.736,2816.0241934135747,100.67690823780262
309,9.754,2831.105338022576,105.60652216056893
310,9.773,2854.260003977978,110.0171661057848
311,9.796,2891.1615991393123,114.47567218482968
312,9.823,2941.9218176294776,118.41345855299323
313,9.848,2992.715748616502,113.14818304612237
314,9.873,3007.737969117256,93.3477513390082
315,9.903,2979.0788313508165,74.37136624831902
316,9.919,2950.3897198133677,71.3021062026464
317,9.939,2923.096123006544,79.97223187740802
318,9.956,2908.3929716268367,86.69382630381976
319,9.974,2901.8698213113917,92.66016777596936
320,9.996,2904.8809914581143,99.5665142256974
321,10.014,2915.032913630003,104.00781580270231
322,10.072,2970.715050951491,113.33082698657203
323,10.09,2990.186547296159,109.48168567455409
324,10.103,2996.5628591100176,103.95475577150518
325,10.126,2999.6255726687623,93.60454419733163
326,10.138,2996.008500469819,89.07544909060546
327,10.151,2991.711043692776,89.31091609869804
328,10.168,2986.8538605739004,93.67909566123342
329,10.214,2998.903535839108,104.5810075496506
330,10.225,3003.8991523754125,102.58669764018987
331,10.242,3004.692515098567,91.13641022896635
332,10.324,2902.4196071646084,64.75970355876913
333,10.355,2839.7608250886224,68.0483359877654
334,10.378,2807.826908462785,79.13262031759139
335,10.399,2792.7102395637767,88.35133959062684
336,10.44,2800.0544240691884,101.27693419459693
337,10.476,2836.919053900149,109.98683173855886
338,10.54,2941.342718717596,119.47471392527912
339,10.573,3004.912935633842,106.94277507005663
340,10.617,2991.3472521077088,78.11082407669913
341,10.648,2936.722659999587,69.70232666827411
342,10.677,2897.0135865359157,83.08142956696493
343,10.714,2884.208564504459,95.99279889237695
344,10.746,2898.1852464206927,104.05628078214015
345,10.776,2930.741877991578,110.5763192368516
346,10.822,3000.738960447014,117.20918841628814
