base_delay,control_interval,result
14,90,87.58
14,91,88.32
14,92,87.32
14,93,87.53999999999999
14,94,87.63
14,95,87.96000000000001
14,96,87.38
14,97,87.25999999999999
14,98,87.34
14,99,86.51
14,100,87.55
15,1,94.07
15,2,92.81
15,3,93.34
15,4,92.78
15,5,92.19
15,6,92.89
15,7,93.68
15,8,92.5
15,9,92.85
15,10,93.31
15,11,92.01
15,12,93.1
15,13,92.42
15,14,93.03
15,15,92.56
15,16,92.92
15,17,92.39
15,18,92.66
15,19,93.23
15,20,92.69
15,21,92.17
15,22,92.85
15,23,93.55
15,24,92.36
15,25,93.05
15,26,92.42
15,27,92.9
15,28,93.02
15,29,93.48
15,30,93.2
15,31,92.13
15,32,92.6
15,33,92.73
15,34,92.5
15,35,92.92
15,36,92.54
15,37,92.25
15,38,91.94
15,39,92.33
15,40,91.51
15,41,91.93
15,42,92.22
15,43,92.01
15,44,92.35
15,45,91.04
15,46,90.73
15,47,91.8
15,48,90.78
15,49,90.81
15,50,91.22
15,51,90.63
15,52,90.92
15,53,89.97
15,54,90.8
15,55,90.77
15,56,90.9
15,57,90.77
15,58,90.39
15,59,90.42
15,60,90.11
15,61,89.96
15,62,90.02
15,63,89.68
15,64,90.09
15,65,89.78
15,66,90.39
15,67,89.91
15,68,90.03
15,69,89.35
15,70,89.63
15,71,90.01
15,72,89.11
15,73,88.54
15,74,89.1
15,75,88.31
15,76,88.98
15,77,88.87
15,78,88.66
15,79,88.27
15,80,88.85
15,81,88.13
15,82,88.52
15,83,88.61
15,84,88.42
15,85,87.06
15,86,87.53
15,87,88.06
15,88,87.7
15,89,87.41
15,90,87.53
15,91,87.13
15,92,87.25
15,93,87.49000000000001
15,94,87.2
15,95,87.52
15,96,87.15
15,97,87.53999999999999
15,98,87.67
15,99,87.39
15,100,88.3
16,1,93.16
16,2,93.25
16,3,93.55
16,4,93.0
16,5,93.02
16,6,93.48
16,7,93.18
16,8,92.99
16,9,92.91
16,10,93.03
16,11,92.47
16,12,92.53
16,13,93.04
16,14,92.54
16,15,92.38
16,16,92.72
16,17,92.45
16,18,92.98
16,19,92.24
16,20,92.83
16,21,92.0
16,22,92.8
16,23,92.81
16,24,92.59
16,25,93.14
16,26,93.03
16,27,92.98
16,28,92.89
16,29,92.19
16,30,93.14
16,31,93.14
16,32,92.01
16,33,91.89
16,34,93.13
16,35,92.73
16,36,92.53
16,37,92.76
16,38,91.94
16,39,91.36
16,40,92.44
16,41,91.9
16,42,90.68
16,43,91.44
16,44,91.43
16,45,91.43
16,46,91.56
16,47,89.98
16,48,90.1
16,49,90.92
16,50,90.91
16,51,90.18
16,52,90.39
16,53,89.99
16,54,89.93
16,55,89.71
16,56,90.8
16,57,90.19
16,58,89.64
16,59,89.79
16,60,90.23
16,61,89.08
16,62,89.94
16,63,89.62
16,64,89.86
16,65,89.87
16,66,89.62
16,67,89.57
16,68,89.93
16,69,89.26
16,70,89.07
16,71,89.57
16,72,89.73
16,73,88.88
16,74,88.83
16,75,89.01
16,76,89.03
16,77,88.52
16,78,87.4
16,79,88.27
16,80,88.19
16,81,88.27
16,82,88.1
16,83,88.02
16,84,87.8
16,85,87.22
16,86,88.23
16,87,87.35
16,88,87.44
16,89,87.11
16,90,87.09
16,91,86.33
16,92,87.46
16,93,87.12
16,94,86.69
16,95,86.93
16,96,87.29
16,97,86.76
16,98,86.98
16,99,86.02
16,100,86.27
17,1,93.44
17,2,93.14
17,3,92.83
17,4,92.74
17,5,93.1
17,6,93.15
17,7,92.71
17,8,92.41
17,9,92.78
17,10,92.23
17,11,91.99
17,12,92.73
17,13,92.42
17,14,92.91
17,15,92.8
17,16,92.41
17,17,91.53
17,18,92.21
17,19,92.19
17,20,92.71
17,21,92.92
17,22,92.46000000000001
17,23,92.58
17,24,92.12
17,25,91.72
17,26,93.02
17,27,92.41
17,28,92.12
17,29,92.66
17,30,92.43
17,31,92.97
17,32,92.47
17,33,92.67
17,34,92.07
17,35,92.28
17,36,91.8
17,37,92.47
17,38,91.73
17,39,91.56
17,40,91.6
17,41,91.66
17,42,91.93
17,43,91.9
17,44,90.94
17,45,90.84
17,46,90.93
17,47,91.0
17,48,90.62
17,49,90.87
17,50,91.34
17,51,90.22
17,52,90.17
17,53,90.72
17,54,90.08
17,55,89.96
17,56,89.9
17,57,90.27
17,58,90.34
17,59,90.08
17,60,89.67
17,61,89.68
17,62,90.06
17,63,90.14
17,64,89.97
17,65,89.81
17,66,89.13
17,67,89.9
17,68,88.48
17,69,89.43
17,70,89.39
17,71,89.14
17,72,89.34
17,73,89.46000000000001
17,74,89.1
17,75,88.66
17,76,88.74
17,77,88.03
17,78,87.98
17,79,88.32
17,80,87.59
17,81,87.71000000000001
17,82,88.02
17,83,88.22
17,84,87.66
17,85,87.36
17,86,87.44
17,87,87.4
17,88,86.86
17,89,87.86
17,90,87.32
17,91,87.64
17,92,86.98
17,93,87.31
17,94,87.4
17,95,85.94
17,96,86.03
17,97,85.86
17,98,86.91
17,99,86.19
17,100,86.18
18,1,91.91
18,2,91.92
18,3,92.97
18,4,93.01
18,5,91.18
18,6,92.45
18,7,91.48
18,8,92.13
18,9,92.15
18,10,91.9
18,11,91.87
18,12,92.6
18,13,91.5
18,14,92.09
18,15,91.9
18,16,91.91
18,17,92.01
18,18,92.15
18,19,92.48
18,20,92.15
18,21,91.78999999999999
18,22,92.64
18,23,92.67
18,24,91.9
18,25,92.61
